timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-07-02 00:00:00,7.0,,,
2021-07-02 00:01:00,12.5,2.88,5.5,
2021-07-02 00:02:00,1.5,1.42,-11.0,-1.46
2021-07-02 00:03:00,0.5,4.83,-1.0,3.41
2021-07-02 00:04:00,0.5,4.14,0.0,-0.69
2021-07-02 00:05:00,0.5,2.89,0.0,-1.25
2021-07-02 00:06:00,0.5,3.38,0.0,0.49
2021-07-02 00:07:00,3.5,2.52,3.0,-0.86
2021-07-02 00:08:00,3.5,18.63,0.0,16.11
2021-07-02 00:09:00,22.5,6.7,19.0,-11.93
2021-07-02 00:10:00,29.0,7.78,6.5,1.08
2021-07-02 00:11:00,21.5,0.01,-7.5,-7.77
2021-07-02 00:12:00,19.5,13.27,-2.0,13.26
2021-07-02 00:13:00,24.5,13.88,5.0,0.61
2021-07-02 00:14:00,13.0,1.3,-11.5,-12.58
2021-07-02 00:15:00,20.5,0.28,7.5,-1.02
2021-07-02 00:16:00,6.5,27.6,-14.0,27.32
2021-07-02 00:17:00,14.5,3.49,8.0,-24.11
2021-07-02 00:18:00,10.5,17.61,-4.0,14.12
2021-07-02 00:19:00,57.0,116.4,46.5,98.79
2021-07-02 00:20:00,11.5,72.81,-45.5,-43.59
2021-07-02 00:21:00,69.0,30.35,57.5,-42.46
2021-07-02 00:22:00,63.0,25.53,-6.0,-4.82
2021-07-02 00:23:00,0.5,50.62,-62.5,25.09
2021-07-02 00:24:00,38.5,44.92,38.0,-5.7
2021-07-02 00:25:00,27.0,22.51,-11.5,-22.41
2021-07-02 00:26:00,13.5,22.81,-13.5,0.3
2021-07-02 00:27:00,13.0,3.6,-0.5,-19.21
2021-07-02 00:28:00,141.5,344.57,128.5,340.97
2021-07-02 00:29:00,120.0,263.72,-21.5,-80.85
2021-07-02 00:30:00,66.0,524.69,-54.0,260.97
2021-07-02 00:31:00,30.5,59.9,-35.5,-464.79
2021-07-02 00:32:00,18.0,11.73,-12.5,-48.17
2021-07-02 00:33:00,66.0,2.2,48.0,-9.53
2021-07-02 00:34:00,27.5,5.56,-38.5,3.36
2021-07-02 00:35:00,17.0,4.09,-10.5,-1.47
2021-07-02 00:36:00,30.0,8.35,13.0,4.26
2021-07-02 00:37:00,17.0,2.32,-13.0,-6.03
2021-07-02 00:38:00,8.0,10.27,-9.0,7.95
2021-07-02 00:39:00,7.5,3.51,-0.5,-6.76
2021-07-02 00:40:00,24.0,62.91,16.5,59.4
2021-07-02 00:41:00,8.5,51.72,-15.5,-11.19
2021-07-02 00:42:00,8.5,22.59,0.0,-29.13
2021-07-02 00:43:00,22.5,19.32,14.0,-3.27
2021-07-02 00:44:00,104.5,174.15,82.0,154.83
2021-07-02 00:45:00,80.0,100.23,-24.5,-73.92
2021-07-02 00:46:00,72.0,39.45,-8.0,-60.78
2021-07-02 00:47:00,46.5,93.97,-25.5,54.52
2021-07-02 00:48:00,24.0,29.9,-22.5,-64.07
2021-07-02 00:49:00,20.0,51.64,-4.0,21.74
2021-07-02 00:50:00,9.5,6.69,-10.5,-44.95
2021-07-02 00:51:00,22.0,1.59,12.5,-5.1
2021-07-02 00:52:00,32.0,11.55,10.0,9.96
