timestamp,openInterest,change_oi
2024-08-26 04:25:00,60102.979,1.254
2024-08-26 04:30:00,60105.826,2.847
2024-08-26 04:35:00,60152.926,47.1
2024-08-26 04:40:00,60132.29,-20.636
2024-08-26 04:45:00,60081.886,-50.404
2024-08-26 04:50:00,60025.617,-56.269
2024-08-26 04:55:00,60024.487,-1.13
2024-08-26 05:00:00,59979.516,-44.971
2024-08-26 05:05:00,60006.984,27.468
2024-08-26 05:10:00,60039.984,33.0
2024-08-26 05:15:00,60043.651,3.667
2024-08-26 05:20:00,60003.854,-39.797
2024-08-26 05:25:00,60007.133,3.279
2024-08-26 05:30:00,60014.234,7.101
2024-08-26 05:35:00,60049.434,35.2
2024-08-26 05:40:00,60077.758,28.324
2024-08-26 05:45:00,60097.18,19.422
2024-08-26 05:50:00,60119.975,22.795
2024-08-26 05:55:00,60100.393,-19.582
2024-08-26 06:00:00,60113.045,12.652
2024-08-26 06:05:00,60158.554,45.509
2024-08-26 06:10:00,60210.474,51.92
2024-08-26 06:15:00,60246.544,36.07
2024-08-26 06:20:00,60250.713,4.169
2024-08-26 06:25:00,60271.204,20.491
2024-08-26 06:30:00,60238.826,-32.378
2024-08-26 06:35:00,60195.869,-42.957
2024-08-26 06:40:00,60400.007,204.138
2024-08-26 06:45:00,60217.658,-182.349
2024-08-26 06:50:00,60427.817,210.159
2024-08-26 06:55:00,60519.646,91.829
2024-08-26 07:00:00,60468.232,-51.414
2024-08-26 07:05:00,60523.041,54.809
2024-08-26 07:10:00,60586.661,63.62
2024-08-26 07:15:00,60622.898,36.237
2024-08-26 07:20:00,60694.853,71.955
2024-08-26 07:25:00,60706.515,11.662
2024-08-26 07:30:00,60731.999,25.484
2024-08-26 07:35:00,60737.87,5.871
2024-08-26 07:40:00,60759.048,21.178
2024-08-26 07:45:00,60746.173,-12.875
2024-08-26 07:50:00,60793.991,47.818
2024-08-26 07:55:00,60872.316,78.325
2024-08-26 08:00:00,60893.175,20.859
2024-08-26 08:05:00,60869.24,-23.935
2024-08-26 08:10:00,60910.736,41.496
2024-08-26 08:15:00,60931.447,20.711
2024-08-26 08:20:00,60954.479,23.032
2024-08-26 08:25:00,61007.191,52.712
2024-08-26 08:30:00,61001.758,-5.433
2024-08-26 08:35:00,61016.899,15.141
2024-08-26 08:40:00,60972.522,-44.377
2024-08-26 08:45:00,60993.988,21.466
2024-08-26 08:50:00,61029.508,35.52
2024-08-26 08:55:00,61051.238,21.73
2024-08-26 09:00:00,61056.466,5.228
2024-08-26 09:05:00,61086.08,29.614
2024-08-26 09:10:00,61082.873,-3.207
2024-08-26 09:15:00,61077.404,-5.469
2024-08-26 09:20:00,61003.186,-74.218
2024-08-26 09:25:00,61034.13,30.944
2024-08-26 09:30:00,60888.566,-145.564
2024-08-26 09:35:00,60144.83,-743.736
2024-08-26 09:40:00,60385.823,240.993
2024-08-26 09:45:00,60480.223,94.4
2024-08-26 09:50:00,60622.721,142.498
2024-08-26 09:55:00,60710.757,88.036
2024-08-26 10:00:00,60818.884,108.127
2024-08-26 10:05:00,60795.765,-23.119
2024-08-26 10:10:00,60887.66,91.895
2024-08-26 10:15:00,60973.175,85.515
2024-08-26 10:20:00,60975.436,2.261
2024-08-26 10:25:00,61028.636,53.2
2024-08-26 10:30:00,61050.625,21.989
2024-08-26 10:35:00,61007.14,-43.485
2024-08-26 10:40:00,61007.91,0.77
