timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-02-09 00:00:00,144.0,,,
2021-02-09 00:01:00,48.5,9.06,-95.5,
2021-02-09 00:02:00,78.0,2.04,29.5,-7.02
2021-02-09 00:03:00,66.5,11.68,-11.5,9.64
2021-02-09 00:04:00,55.0,7.97,-11.5,-3.71
2021-02-09 00:05:00,38.5,5.99,-16.5,-1.98
2021-02-09 00:06:00,79.0,2.3,40.5,-3.69
2021-02-09 00:07:00,74.0,6.69,-5.0,4.39
2021-02-09 00:08:00,79.5,4.4,5.5,-2.29
2021-02-09 00:09:00,42.5,6.81,-37.0,2.41
2021-02-09 00:10:00,76.0,2.67,33.5,-4.14
2021-02-09 00:11:00,106.0,23.29,30.0,20.62
2021-02-09 00:12:00,88.5,9.27,-17.5,-14.02
2021-02-09 00:13:00,46.0,9.44,-42.5,0.17
2021-02-09 00:14:00,125.5,31.58,79.5,22.14
2021-02-09 00:15:00,135.0,33.61,9.5,2.03
2021-02-09 00:16:00,77.0,9.47,-58.0,-24.14
2021-02-09 00:17:00,106.0,3.31,29.0,-6.16
2021-02-09 00:18:00,73.0,2.91,-33.0,-0.4
2021-02-09 00:19:00,32.0,12.26,-41.0,9.35
2021-02-09 00:20:00,166.0,37.38,134.0,25.12
2021-02-09 00:21:00,163.0,8.91,-3.0,-28.47
2021-02-09 00:22:00,151.5,14.71,-11.5,5.8
2021-02-09 00:23:00,64.5,9.53,-87.0,-5.18
2021-02-09 00:24:00,104.5,8.72,40.0,-0.81
2021-02-09 00:25:00,103.0,8.85,-1.5,0.13
2021-02-09 00:26:00,137.0,10.03,34.0,1.18
2021-02-09 00:27:00,71.0,4.79,-66.0,-5.24
2021-02-09 00:28:00,74.0,0.7,3.0,-4.09
2021-02-09 00:29:00,42.0,1.03,-32.0,0.33
2021-02-09 00:30:00,75.5,4.45,33.5,3.42
2021-02-09 00:31:00,98.0,3.09,22.5,-1.36
2021-02-09 00:32:00,72.0,0.66,-26.0,-2.43
2021-02-09 00:33:00,37.0,1.1,-35.0,0.44
2021-02-09 00:34:00,79.5,6.44,42.5,5.34
2021-02-09 00:35:00,111.5,9.29,32.0,2.85
2021-02-09 00:36:00,76.0,3.14,-35.5,-6.15
2021-02-09 00:37:00,40.0,15.5,-36.0,12.36
2021-02-09 00:38:00,82.0,26.94,42.0,11.44
2021-02-09 00:39:00,73.0,22.16,-9.0,-4.78
2021-02-09 00:40:00,166.0,27.83,93.0,5.67
2021-02-09 00:41:00,184.5,22.67,18.5,-5.16
2021-02-09 00:42:00,46.5,3.73,-138.0,-18.94
2021-02-09 00:43:00,56.0,11.45,9.5,7.72
2021-02-09 00:44:00,37.5,1.35,-18.5,-10.1
2021-02-09 00:45:00,23.5,1.16,-14.0,-0.19
2021-02-09 00:46:00,16.0,1.26,-7.5,0.1
2021-02-09 00:47:00,22.0,3.19,6.0,1.93
2021-02-09 00:48:00,172.0,31.36,150.0,28.17
2021-02-09 00:49:00,45.5,27.43,-126.5,-3.93
2021-02-09 00:50:00,108.5,1.43,63.0,-26.0
2021-02-09 00:51:00,27.5,10.06,-81.0,8.63
2021-02-09 00:52:00,14.5,13.74,-13.0,3.68
2021-02-09 00:53:00,56.0,4.9,41.5,-8.84
2021-02-09 00:54:00,47.5,6.04,-8.5,1.14
2021-02-09 00:55:00,17.5,1.56,-30.0,-4.48
2021-02-09 00:56:00,17.0,6.12,-0.5,4.56
2021-02-09 00:57:00,14.0,3.47,-3.0,-2.65
2021-02-09 00:58:00,142.0,12.24,128.0,8.77
2021-02-09 00:59:00,158.0,14.34,16.0,2.1
2021-02-09 01:00:00,96.0,37.75,-62.0,23.41
2021-02-09 01:01:00,18.0,58.9,-78.0,21.15
2021-02-09 01:02:00,41.0,4.35,23.0,-54.55
2021-02-09 01:03:00,71.0,12.16,30.0,7.81
2021-02-09 01:04:00,50.5,13.24,-20.5,1.08
2021-02-09 01:05:00,58.5,5.1,8.0,-8.14
2021-02-09 01:06:00,110.0,29.02,51.5,23.92
2021-02-09 01:07:00,96.0,21.78,-14.0,-7.24
2021-02-09 01:08:00,90.5,9.7,-5.5,-12.08
2021-02-09 01:09:00,104.0,2.62,13.5,-7.08
2021-02-09 01:10:00,80.5,6.41,-23.5,3.79
2021-02-09 01:11:00,57.0,5.67,-23.5,-0.74
2021-02-09 01:12:00,53.5,2.8,-3.5,-2.87
2021-02-09 01:13:00,34.0,6.87,-19.5,4.07
2021-02-09 01:14:00,33.0,4.86,-1.0,-2.01
2021-02-09 01:15:00,31.5,1.19,-1.5,-3.67
2021-02-09 01:16:00,94.5,10.54,63.0,9.35
2021-02-09 01:17:00,42.0,18.99,-52.5,8.45
2021-02-09 01:18:00,89.0,17.42,47.0,-1.57
2021-02-09 01:19:00,92.5,13.37,3.5,-4.05
2021-02-09 01:20:00,136.0,22.18,43.5,8.81
2021-02-09 01:21:00,65.0,0.6,-71.0,-21.58
2021-02-09 01:22:00,45.0,6.59,-20.0,5.99
2021-02-09 01:23:00,89.5,11.66,44.5,5.07
2021-02-09 01:24:00,91.5,8.61,2.0,-3.05
2021-02-09 01:25:00,102.5,6.88,11.0,-1.73
2021-02-09 01:26:00,114.0,3.0,11.5,-3.88
2021-02-09 01:27:00,35.0,4.29,-79.0,1.29
2021-02-09 01:28:00,67.0,1.53,32.0,-2.76
2021-02-09 01:29:00,47.5,4.42,-19.5,2.89
2021-02-09 01:30:00,74.0,18.19,26.5,13.77
2021-02-09 01:31:00,95.0,11.66,21.0,-6.53
2021-02-09 01:32:00,82.0,21.24,-13.0,9.58
2021-02-09 01:33:00,32.5,22.22,-49.5,0.98
2021-02-09 01:34:00,90.5,17.09,58.0,-5.13
2021-02-09 01:35:00,49.5,17.56,-41.0,0.47
2021-02-09 01:36:00,31.5,4.81,-18.0,-12.75
2021-02-09 01:37:00,44.0,0.42,12.5,-4.39
2021-02-09 01:38:00,17.0,1.64,-27.0,1.22
2021-02-09 01:39:00,38.5,2.31,21.5,0.67
2021-02-09 01:40:00,64.5,2.14,26.0,-0.17
2021-02-09 01:41:00,40.0,0.44,-24.5,-1.7
2021-02-09 01:42:00,116.0,50.39,76.0,49.95
2021-02-09 01:43:00,80.5,18.52,-35.5,-31.87
2021-02-09 01:44:00,35.5,8.52,-45.0,-10.0
2021-02-09 01:45:00,36.5,18.09,1.0,9.57
2021-02-09 01:46:00,13.5,8.61,-23.0,-9.48
2021-02-09 01:47:00,98.5,8.02,85.0,-0.59
2021-02-09 01:48:00,95.5,1.95,-3.0,-6.07
2021-02-09 01:49:00,90.5,27.56,-5.0,25.61
2021-02-09 01:50:00,46.5,21.74,-44.0,-5.82
2021-02-09 01:51:00,125.0,0.7,78.5,-21.04
2021-02-09 01:52:00,51.0,21.58,-74.0,20.88
2021-02-09 01:53:00,71.0,28.82,20.0,7.24
2021-02-09 01:54:00,47.0,4.55,-24.0,-24.27
2021-02-09 01:55:00,36.5,4.93,-10.5,0.38
2021-02-09 01:56:00,37.0,9.85,0.5,4.92
2021-02-09 01:57:00,19.0,9.0,-18.0,-0.85
2021-02-09 01:58:00,50.5,8.55,31.5,-0.45
2021-02-09 01:59:00,41.0,7.02,-9.5,-1.53
2021-02-09 02:00:00,327.0,150.66,286.0,143.64
2021-02-09 02:01:00,240.5,45.84,-86.5,-104.82
2021-02-09 02:02:00,59.0,84.49,-181.5,38.65
2021-02-09 02:03:00,313.5,54.23,254.5,-30.26
2021-02-09 02:04:00,137.5,36.63,-176.0,-17.6
