startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1625250600000,33314.5,33367,33314.5,33367,28.819,961603.573
1625250660000,33367,33379.5,33366.5,33367,38.236,1275820.612
1625250720000,33367,33381,33366.5,33380.5,20.305,677791.0525
1625250780000,33380.5,33381,33370,33380.5,21.075,703494.0375
1625250840000,33380.5,33380.5,33343,33343,27.525,917766.075
1625250900000,33343,33356.5,33343,33356.5,4.663,155541.3595
1625250960000,33356.5,33356.5,33356,33356,8.302,276921.512
1625251020000,33356,33356.5,33333.5,33337.5,22.483,749527.0125
1625251080000,33337.5,33344.5,33337,33344.5,3.358,111970.831
1625251140000,33344.5,33377.5,33344.5,33377.5,21.364,713076.91
1625251200000,33377.5,33377.5,33372.5,33375,11.792,393558
1625251260000,33375,33375.5,33365,33365,36.868,1230100.82
1625251320000,33365,33366,33365,33366,5.684,189652.344
1625251380000,33366,33366,33360,33360,36.292,1210701.12
1625251440000,33360,33383.5,33360,33381,22.211,741425.391
1625251500000,33381,33381.5,33381,33381.5,17.969,599832.1735
1625251560000,33381.5,33381.5,33381,33381.5,6.932,231400.558
1625251620000,33381.5,33386.5,33380,33380.5,11.762,392621.441
1625251680000,33380.5,33380.5,33380,33380,2.68,89458.4
1625251740000,33380,33397,33380,33397,9.265,309423.205
1625251800000,33397,33398.5,33350,33350.5,42.978,1433337.789
1625251860000,33350.5,33361.5,33347.5,33361.5,4.995,166640.6925
1625251920000,33361.5,33361.5,33339.5,33347.5,9.489,316434.4275
1625251980000,33347.5,33347.5,33343,33343,2.25,75021.75
1625252040000,33343,33359,33332,33359,9.498,316843.782
1625252100000,33359,33359,33303,33303.5,11.459,381624.8065
1625252160000,33303.5,33303.5,33261,33261,45.748,1521624.228
1625252220000,33261,33287.5,33261,33275,68.39,2275677.25
1625252280000,33275,33296.5,33274.5,33296.5,18.942,630702.303
1625252340000,33296.5,33296.5,33288,33288,10.778,358778.064
1625252400000,33288,33324,33285,33324,20.342,677876.808
1625252460000,33324,33324,33305.5,33305.5,7.91,263446.505
1625252520000,33305.5,33306,33289,33300,11.463,381717.9
1625252580000,33300,33300,33288.5,33289,56.831,1891847.159
1625252640000,33289,33289,33225,33230,278.761,9263228.03
1625252700000,33230,33230.5,33181.5,33215,208.454,6923799.61
1625252760000,33215,33222,33200,33205,33.641,1117049.405
1625252820000,33205,33228,33205,33228,15.073,500845.644
1625252880000,33228,33228,33207,33207.5,37.969,1260855.5675
1625252940000,33207.5,33207.5,33207,33207.5,5.281,175368.8075
1625253000000,33207.5,33214,33207,33207.5,17.64,585780.3
1625253060000,33207.5,33207.5,33171,33184.5,46.278,1535712.291
1625253120000,33184.5,33184.5,33134,33160,93.04,3085206.4
1625253180000,33160,33166,33159.5,33166,17.102,567204.932
1625253240000,33166,33166,33164.5,33164.5,11.142,369518.859
1625253300000,33164.5,33164.5,33147,33147,23.447,777197.709
1625253360000,33147,33198,33147,33192,64.396,2137432.032
1625253420000,33192,33200,33183,33183,25.002,829641.366
1625253480000,33183,33183.5,33154.5,33154.5,9.407,311884.3815
1625253540000,33154.5,33173,33154.5,33173,17.925,594626.025
1625253600000,33173,33173,33147.5,33148,22.211,736250.228
1625253660000,33148,33160,33147.5,33160,13.971,463278.36
1625253720000,33160,33160,33142.5,33142.5,27.853,923118.0525
1625253780000,33142.5,33150,33142.5,33150,13.726,455016.9
1625253840000,33150,33150,33123,33123,52.279,1731637.317
1625253900000,33123,33123.5,33122.5,33122.5,11.461,379616.9725
1625253960000,33122.5,33123,33121,33121.5,21.206,702374.529
1625254020000,33121.5,33150,33121,33145.5,41.622,1379582.001
1625254080000,33145.5,33145.5,33123,33123,4.912,162700.176
1625254140000,33123,33137.5,33123,33137.5,6.497,215294.3375
1625254200000,33137.5,33153,33137,33153,28.243,936340.179
1625254260000,33153,33207,33153,33207,32.875,1091680.125
1625254320000,33207,33207,33186,33205,50.041,1661611.405
1625254380000,33205,33215,33204.5,33215,16.451,546419.965
1625254440000,33215,33226.5,33214.5,33226.5,43.631,1449705.4215
1625254500000,33226.5,33226.5,33220,33220.5,30.922,1027244.301
1625254560000,33220.5,33226,33220,33225.5,12.107,402261.1285
1625254620000,33225.5,33227,33225.5,33226.5,13.501,448590.9765
1625254680000,33226.5,33227,33218,33218,6.595,219072.71
1625254740000,33218,33218.5,33215.5,33216,17.645,586096.32
1625254800000,33216,33216,33215.5,33215.5,5.485,182187.0175
1625254860000,33215.5,33216,33215.5,33216,5.289,175679.424
1625254920000,33216,33216,33215,33215,6.11,202943.65
