,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
27,-2,33460,33478,41157.500040000006,40022.68,2269.640080000012,0.027572618329517073,2021-08-05 19:30:00,2021-08-06 04:30:00,0 days 09:00:00
28,-1,36289,36302,48824.14602,48113.0,711.1460200000001,0.014565457421593986,2021-10-03 18:00:00,2021-10-04 00:30:00,0 days 06:30:00
29,-3,39118,39128,58714.27612,56600.0,6342.828360000007,0.03600957483796363,2021-12-01 16:30:00,2021-12-01 21:30:00,0 days 05:00:00
30,-6,41959,41971,38243.1604,37940.63,1815.1824000000197,0.007910706040916149,2022-01-29 21:00:00,2022-01-30 03:00:00,0 days 06:00:00
31,5,43313,43330,38304.055199999995,39151.7,4238.224000000009,0.0221293749597562,2022-02-27 02:00:00,2022-02-27 10:30:00,0 days 08:30:00
32,4,43349,43371,37649.8494,37960.0,1240.6024000000034,0.008237764690766536,2022-02-27 20:00:00,2022-02-28 07:00:00,0 days 11:00:00
33,-1,49045,49061,21656.001200000002,21273.6,382.4012000000039,0.017657978334430613,2022-06-26 12:00:00,2022-06-26 20:00:00,0 days 08:00:00
34,10,50419,50440,21989.4912,21920.7,-687.9119999999966,-0.0031283670628995397,2022-07-25 03:00:00,2022-07-25 13:30:00,0 days 10:30:00
35,1,56121,56129,16309.9548,16039.053425621132,-270.90137437886733,-0.016609572356317437,2022-11-20 22:00:00,2022-11-21 02:00:00,0 days 04:00:00
36,-1,57548,57578,16934.463200000002,16830.8,103.66320000000269,0.006121434070611831,2022-12-20 15:30:00,2022-12-21 06:30:00,0 days 15:00:00
37,8,58942,58969,20711.440199999997,20814.8,826.878400000016,0.00499046898727995,2023-01-18 16:30:00,2023-01-19 06:00:00,0 days 13:30:00
38,-7,60390,60411,24857.8846,24630.0,1595.1922000000086,0.009167497704128946,2023-02-17 20:30:00,2023-02-18 07:00:00,0 days 10:30:00
39,-6,61743,61773,27558.772,27218.9,2039.2319999999963,0.012332624980532447,2023-03-18 01:00:00,2023-03-18 16:00:00,0 days 15:00:00
40,1,63183,63204,29892.666,29427.496660358407,-465.169339641594,-0.01556131994521981,2023-04-17 01:00:00,2023-04-17 11:30:00,0 days 10:30:00
41,1,63205,63223,29617.2162,29436.0,-181.21619999999893,-0.0061186101616126365,2023-04-17 12:00:00,2023-04-17 21:00:00,0 days 09:00:00
42,1,66014,66033,25173.4464,24936.0,-237.44640000000072,-0.009432415261185767,2023-06-15 00:30:00,2023-06-15 10:00:00,0 days 09:30:00
43,8,67443,67464,30134.7492,30252.4,941.2064000000246,0.0039041572643983002,2023-07-14 19:00:00,2023-07-15 05:30:00,0 days 10:30:00
44,1,68891,68896,29365.614,29197.529204979328,-168.08479502067348,-0.0057238644838372155,2023-08-13 23:00:00,2023-08-14 01:30:00,0 days 02:30:00
45,-1,70306,70324,26186.9212,26101.9,85.02119999999923,0.0032467046947084466,2023-09-12 10:30:00,2023-09-12 19:30:00,0 days 09:00:00
46,1,71683,71701,27164.1198,27185.0,20.880199999999604,0.0007686683814434048,2023-10-11 03:00:00,2023-10-11 12:00:00,0 days 09:00:00
47,1,71708,71726,26867.026800000003,26816.1,-50.92680000000473,-0.0018955130531974618,2023-10-11 15:30:00,2023-10-12 00:30:00,0 days 09:00:00
