startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1615746600000,60086.5,60087,60056,60056,21.094,1266821.264
1615746660000,60056,60069.5,60056,60069.5,1.654,99354.953
1615746720000,60069.5,60069.5,60060,60060,6.794,408047.64
1615746780000,60060,60064.5,60058,60060,1.588,95375.28
1615746840000,60060,60069,60060,60068.5,0.4,24027.4
1615746900000,60068.5,60069,60068.5,60069,0.982,58987.758
1615746960000,60069,60073.5,60069,60073,0.675,40549.275
1615747020000,60073,60190.5,60073,60190.5,22.526,1355851.203
1615747080000,60190.5,60346,60190.5,60283.5,84.56,5097572.76
1615747140000,60283.5,60320.5,60266.5,60320,9.297,560795.04
1615747200000,60320,60381,60289.5,60289.5,49.823,3003803.7585
1615747260000,60289.5,60290,60289.5,60290,3.554,214270.66
1615747320000,60290,60290,60285.5,60285.5,3.915,236017.7325
1615747380000,60285.5,60285.5,60220.5,60220.5,3.509,211313.7345
1615747440000,60220.5,60241.5,60196,60196,14.344,863451.424
1615747500000,60196,60246,60196,60229,6.414,386308.806
1615747560000,60229,60286,60211.5,60285.5,5.202,313605.171
1615747620000,60285.5,60286,60249,60249.5,1.361,81999.5695
1615747680000,60249.5,60272,60249,60272,3.497,210771.184
1615747740000,60272,60300,60269.5,60270,2.103,126747.81
1615747800000,60270,60270,60245.5,60245.5,2.414,145432.637
1615747860000,60245.5,60246,60211,60211,3.232,194601.952
1615747920000,60211,60227,60200,60200,45.282,2725976.4
1615747980000,60200,60200.5,60180,60193,42.976,2586854.368
1615748040000,60193,60200,60184,60184,45.413,2733135.992
1615748100000,60184,60184,60149,60164,2.894,174114.616
1615748160000,60163.5,60192.5,60163.5,60171,6.612,397850.652
1615748220000,60171,60194.5,60170.5,60170.5,14.075,846899.7875
1615748280000,60170.5,60185,60170.5,60185,4.969,299059.265
1615748340000,60185,60195,60185,60195,14.707,885287.865
1615748400000,60195,60195,60180,60180,2.65,159477
1615748460000,60180,60192,60180,60192,2.362,142173.504
1615748520000,60192,60235,60192,60235,7.948,478747.78
1615748580000,60235,60235,60194,60194.5,6.55,394273.975
1615748640000,60194.5,60226.5,60194.5,60210.5,3.208,193155.284
1615748700000,60210.5,60210.5,60179,60179,1.023,61563.117
1615748760000,60179,60179,60170,60170,0.502,30205.34
1615748820000,60170,60170.5,60120.5,60121.5,30.818,1852824.387
1615748880000,60121.5,60135,60121,60135,2.255,135604.425
1615748940000,60135,60135,60114,60114,1.321,79410.594
1615749000000,60114,60148,60114,60148,0.287,17262.476
1615749060000,60148,60171,60148,60170.5,14.184,853458.372
1615749120000,60170.5,60171,60162,60170.5,6.603,397305.8115
1615749180000,60170.5,60208,60169.5,60169.5,4.582,275696.649
1615749240000,60169.5,60169.5,60099,60099.5,11.594,696793.603
1615749300000,60099.5,60099.5,60074,60078.5,17.095,1027041.9575
1615749360000,60078.5,60140,60078.5,60140,12.516,752712.24
1615749420000,60140,60148,60117,60117,2.027,121857.159
1615749480000,60117.5,60134,60101.5,60134,2.073,124657.782
1615749540000,60134,60182,60134,60182,1.055,63492.01
1615749600000,60182,60219,60182,60219,37.154,2237376.726
1615749660000,60200.5,60212.5,60200,60212.5,9.482,570934.925
1615749720000,60212.5,60212.5,60200.5,60200.5,0.616,37083.508
1615749780000,60200.5,60200.5,60179.5,60179.5,1.682,101221.919
1615749840000,60179.5,60190,60179,60190,3.623,218068.37
1615749900000,60190,60190,60147.5,60147.5,5.404,325037.09
1615749960000,60147.5,60147.5,60110.5,60110.5,6.575,395226.5375
1615750020000,60110.5,60182,60093.5,60182,6.628,398886.296
1615750080000,60182,60217,60163.5,60217,3.427,206363.659
1615750140000,60217,60217,60200,60200.5,0.862,51892.831
1615750200000,60200.5,60200.5,60165.5,60165.5,0.713,42898.0015
1615750260000,60165.5,60165.5,60140,60140.5,0.296,17801.588
1615750320000,60140.5,60140.5,60121,60121,4.388,263810.948
1615750380000,60121,60121.5,60117,60117,2.479,149030.043
1615750440000,60117,60117,60094.5,60095,2.885,173374.075
1615750500000,60095,60095,60093,60093,1.602,96268.986
1615750560000,60093,60093,60050.5,60050.5,29.994,1801154.697
1615750620000,60050,60063.5,60050,60063.5,3.099,186136.7865
1615750680000,60063.5,60178,60063.5,60178,134.553,8097130.434
1615750740000,60178,60178,60138.5,60138.5,5.886,353975.211
1615750800000,60138.5,60139,60060.5,60060.5,4.714,283125.197
1615750860000,60060.5,60084,60030,60046.5,32.228,1935178.602
1615750920000,60046.5,60046.5,59930,59930.5,20.561,1232231.0105
1615750980000,59930.5,60000,59930,60000,3.785,227100
1615751040000,60017.5,60018,59961.5,59961.5,24.911,1493700.9265
1615751100000,59961.5,59962,59842,59913.5,18.17,1088628.295
1615751160000,59913.5,59913.5,59860.5,59873,2.985,178720.905
1615751220000,59873,59907.5,59872.5,59907,6.511,390054.477
1615751280000,59907,59935.5,59907,59935.5,4.42,264914.91
1615751340000,59935.5,59944,59904,59904.5,5.404,323723.918
1615751400000,59904.5,59918,59869.5,59869.5,3.968,237562.176
1615751460000,59869.5,59878.5,59857,59873,3.742,224044.766
1615751520000,59872.5,59906,59872.5,59890,0.877,52523.53
1615751580000,59890,59890.5,59866.5,59890.5,3.723,222972.3315
