startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1700937000000,37784.6,37793,37778.8,37793,16.381,618963.6031
1700937060000,37793,37798.9,37791.3,37792,24.096,910719.5666
1700937120000,37792,37811,37791.9,37806.9,48.05,1816373.4493
1700937180000,37806.9,37807,37804.9,37806.9,14.575,551032.1385
1700937240000,37806.9,37811.6,37806.8,37811.6,10.064,380511.5977
1700937300000,37811.6,37811.6,37801.9,37802,20.583,778156.3078
1700937360000,37802,37829,37800.1,37813.1,139.018,5257138.75
1700937420000,37813.1,37818,37808.4,37809.8,35.038,1324944.0179
1700937480000,37809.8,37809.9,37803.1,37804.1,15.287,577923.0825
1700937540000,37804.1,37811.1,37804.1,37811.1,14.901,563322.2354
1700937600000,37811.1,37816.9,37811,37811.8,16.49,623560.213
1700937660000,37811.8,37816,37810.8,37816,14.51,548648.5183
1700937720000,37816,37816,37809.8,37809.8,3.299,124746.8847
1700937780000,37809.8,37814,37809.8,37812.1,9.554,361266.8188
1700937840000,37812.1,37812.2,37810.5,37810.6,4.761,180019.0249
1700937900000,37810.6,37813.2,37810.5,37813.1,7.543,285212.5424
1700937960000,37813.1,37814.9,37813.1,37814.9,5.495,207792.7149
1700938020000,37814.9,37814.9,37814.8,37814.9,6.437,243414.3884
1700938080000,37814.9,37814.9,37811.9,37811.9,4.111,155447.8143
1700938140000,37811.9,37820,37811.9,37820,37.543,1419793.947
1700938200000,37820,37826.9,37818.9,37818.9,37.542,1419954.8167
1700938260000,37818.9,37822.2,37818.8,37820.1,9.299,351688.0781
1700938320000,37820.1,37820.2,37814,37814.1,32.331,1222689.9822
1700938380000,37814.1,37814.1,37814,37814.1,3.633,137378.3101
1700938440000,37814.1,37820,37814,37820,6.859,259398.698
1700938500000,37820,37820,37813.9,37813.9,11.377,430231.4936
1700938560000,37813.9,37814,37813.9,37813.9,15.353,580557.3124
1700938620000,37813.9,37814.6,37813.9,37814.5,3.919,148194.1178
1700938680000,37814.5,37819.1,37814.5,37819.1,4.413,166891.0303
1700938740000,37819.1,37828.6,37819,37828.5,35.687,1349824.7173
1700938800000,37828.5,37828.7,37825.7,37828.6,46.469,1757813.4269
1700938860000,37828.6,37835,37828.6,37835,59.831,2263441.0293
1700938920000,37835,37841.2,37834.9,37841.2,63.452,2400869.5873
1700938980000,37841.2,37841.2,37840.9,37841,36.624,1385890.5061
1700939040000,37841,37844.4,37840.9,37842.1,53.222,2014042.7055
1700939100000,37842.1,37848.5,37842.1,37848.4,62.062,2348756.038
1700939160000,37848.4,37854.5,37840.7,37840.7,94.677,3583478.8773
1700939220000,37840.7,37840.8,37830,37830.9,62.947,2381474.2114
1700939280000,37830.9,37832.2,37830.9,37832.2,13.192,499077.6512
1700939340000,37832.2,37841.6,37832.1,37841,26.827,1015015.3326
1700939400000,37841,37841,37830,37830,8.205,310459.1432
1700939460000,37830,37830.1,37826.4,37826.5,14.381,543991.5805
1700939520000,37826.5,37826.5,37825.5,37825.6,10.073,381019.3355
1700939580000,37825.6,37825.6,37822.5,37822.5,16.844,637130.3175
1700939640000,37822.5,37822.5,37811.6,37811.6,81.783,3092771.9738
1700939700000,37811.6,37830.6,37811.6,37830.6,63.234,2391538.0001
1700939760000,37830.6,37831.4,37825.8,37825.8,44.28,1675081.1967
1700939820000,37825.8,37825.9,37816.9,37816.9,22.346,845235.6403
1700939880000,37816.9,37817.5,37814,37814,12.701,480313.2065
1700939940000,37814,37814,37808.4,37809.9,9.273,350606.4892
1700940000000,37809.9,37810,37807.3,37807.3,26.385,997603.4976
1700940060000,37807.3,37807.3,37806.5,37806.6,6.912,261320.3203
1700940120000,37806.6,37806.6,37804.3,37804.3,16.227,613484.5605
1700940180000,37804.3,37804.3,37793,37800.4,102.322,3867682.8921
1700940240000,37800.4,37800.5,37796.6,37798.5,11.64,439967.1717
1700940300000,37798.5,37798.7,37798.5,37798.6,2.331,88108.5835
1700940360000,37798.6,37798.7,37795.6,37795.7,8.799,332570.2482
1700940420000,37795.7,37804,37795.6,37804,11.641,440020.1756
1700940480000,37804,37808.2,37803.9,37808.1,10.023,378926.2811
1700940540000,37808.1,37808.4,37808.1,37808.4,5.639,213200.1595
1700940600000,37808.4,37808.4,37799.7,37799.8,7.12,269174.0417
1700940660000,37799.8,37800,37799.7,37800,4.861,183745.2858
1700940720000,37800,37808,37799.9,37808,23.195,876889.1196
1700940780000,37808,37808,37807.9,37808,0.689,26049.6904
1700940840000,37808,37808,37805.1,37808,5.5,207937.7877
1700940900000,37808,37808,37807.9,37807.9,1.575,59547.5345
1700940960000,37807.9,37808,37798,37798,8.265,312435.1764
1700941020000,37798,37798.1,37798,37798,4.012,151645.6887
1700941080000,37798,37798.1,37798,37798,2.285,86368.435
1700941140000,37798,37798.1,37795.9,37795.9,12.28,464150.2614
1700941200000,37795.9,37795.9,37791.1,37791.1,14.497,547878.9884
1700941260000,37791.1,37796.4,37791.1,37796.3,9.902,374221.7947
1700941320000,37796.3,37798.3,37796.3,37798.2,4.9,185207.5624
1700941380000,37798.2,37798.3,37798.2,37798.2,3.479,131499.9971
1700941440000,37798.2,37803,37798.2,37802.9,6.539,247176.7495
1700941500000,37802.9,37803,37802.9,37803,3.845,145352.3571
1700941560000,37803,37803,37802.9,37802.9,1.997,75492.5472
1700941620000,37802.9,37803,37802.9,37803,2.408,91029.5154
1700941680000,37803,37808,37802.9,37808,10.914,412594.577
1700941740000,37808,37810,37807.9,37809.9,0.972,36749.9957
1700941800000,37809.9,37821.8,37809.9,37821.7,29.778,1126158.44
1700941860000,37821.7,37826.7,37821.7,37826.7,7.216,272935.4325
1700941920000,37826.7,37826.7,37826.6,37826.7,7.462,282262.3619
1700941980000,37826.7,37828.5,37826.6,37828.4,43.009,1626913.6874
1700942040000,37828.4,37831.2,37824.3,37824.3,23.798,900252.702
1700942100000,37824.3,37825.2,37824.3,37825.2,9.821,371474.2631
1700942160000,37825.2,37825.2,37825.1,37825.2,3.603,136284.006
1700942220000,37825.2,37825.2,37810.5,37822,30.756,1163127.3611
1700942280000,37822,37829.6,37821.9,37829.6,6.373,241059.635
1700942340000,37829.6,37829.8,37823.1,37823.1,5.162,195273.6362
1700942400000,37823.1,37840,37822.8,37840,21.095,798086.4723
