timestamp,open,high,low,close,volume,turnover
2023-09-01 00:00:00,26294.6,26296.0,26290.2,26293.1,37.111,975744.1889
2023-09-01 00:01:00,26293.1,26294.2,26290.4,26293.8,48.898,1285633.7207
2023-09-01 00:02:00,26293.8,26315.3,26293.8,26304.4,85.41,2247104.5247
2023-09-01 00:03:00,26304.4,26304.5,26299.0,26299.5,13.078,343970.7097
2023-09-01 00:04:00,26299.5,26299.5,26295.0,26295.0,30.978,814633.0076
2023-09-01 00:05:00,26295.0,26295.1,26282.2,26282.2,36.362,955907.1935
2023-09-01 00:06:00,26282.2,26286.6,26279.7,26279.7,65.898,1732090.4659
2023-09-01 00:07:00,26279.7,26294.3,26279.7,26294.2,24.878,653976.4477
2023-09-01 00:08:00,26294.2,26298.2,26290.5,26290.5,13.523,355597.7477
2023-09-01 00:09:00,26290.5,26290.5,26278.8,26278.8,52.747,1386261.6684
2023-09-01 00:10:00,26278.8,26293.7,26278.8,26293.7,74.351,1954378.8858
2023-09-01 00:11:00,26293.7,26293.7,26262.2,26267.5,306.711,8058682.5381
2023-09-01 00:12:00,26267.5,26270.0,26242.2,26253.0,292.059,7667443.535
2023-09-01 00:13:00,26253.0,26253.1,26220.5,26243.9,326.781,8573791.3417
2023-09-01 00:14:00,26243.9,26256.1,26226.8,26243.1,168.201,4414517.8804
2023-09-01 00:15:00,26243.1,26251.9,26231.2,26243.1,130.09,3413560.9519
2023-09-01 00:16:00,26243.1,26243.1,26234.2,26234.2,28.539,748727.4575
2023-09-01 00:17:00,26234.2,26234.7,26210.0,26231.8,216.88,5687651.2554
2023-09-01 00:18:00,26231.8,26254.8,26231.8,26247.3,93.742,2460537.6942
2023-09-01 00:19:00,26247.3,26256.8,26162.1,26187.7,814.368,21335741.3593
2023-09-01 00:20:00,26187.7,26241.0,26181.9,26231.9,479.139,12560994.5139
2023-09-01 00:21:00,26231.9,26261.7,26231.9,26261.3,157.326,4129982.3393
2023-09-01 00:22:00,26261.3,26266.3,26246.9,26248.6,217.413,5708551.012
2023-09-01 00:23:00,26248.6,26249.9,26235.2,26249.9,171.411,4498223.3771
2023-09-01 00:24:00,26249.9,26271.8,26249.9,26271.7,70.361,1847962.5878
2023-09-01 00:25:00,26271.7,26271.8,26258.5,26270.0,60.26,1582763.7797
2023-09-01 00:26:00,26270.0,26322.8,26270.0,26297.1,289.167,7606492.8592
2023-09-01 00:27:00,26297.1,26297.1,26278.9,26280.7,115.144,3026818.4615
