timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-07-17 00:00:00,0.5,,,
2021-07-17 00:01:00,18.5,7.02,18.0,
2021-07-17 00:02:00,2.5,5.72,-16.0,-1.3
2021-07-17 00:03:00,0.5,6.67,-2.0,0.95
2021-07-17 00:04:00,0.5,2.08,0.0,-4.59
2021-07-17 00:05:00,0.5,0.28,0.0,-1.8
2021-07-17 00:06:00,0.5,3.04,0.0,2.76
2021-07-17 00:07:00,19.5,47.73,19.0,44.69
2021-07-17 00:08:00,20.0,39.72,0.5,-8.01
2021-07-17 00:09:00,14.0,0.41,-6.0,-39.31
2021-07-17 00:10:00,6.0,7.06,-8.0,6.65
2021-07-17 00:11:00,12.5,6.3,6.5,-0.76
2021-07-17 00:12:00,4.0,3.07,-8.5,-3.23
2021-07-17 00:13:00,9.5,3.43,5.5,0.36
2021-07-17 00:14:00,15.0,10.06,5.5,6.63
2021-07-17 00:15:00,1.0,13.8,-14.0,3.74
2021-07-17 00:16:00,9.0,7.49,8.0,-6.31
2021-07-17 00:17:00,20.5,24.02,11.5,16.53
2021-07-17 00:18:00,0.5,26.2,-20.0,2.18
2021-07-17 00:19:00,0.5,0.6,0.0,-25.6
2021-07-17 00:20:00,28.5,27.26,28.0,26.66
2021-07-17 00:21:00,17.0,26.15,-11.5,-1.11
2021-07-17 00:22:00,3.0,2.46,-14.0,-23.69
2021-07-17 00:23:00,22.5,52.51,19.5,50.05
2021-07-17 00:24:00,0.5,47.21,-22.0,-5.3
2021-07-17 00:25:00,0.5,7.89,0.0,-39.32
2021-07-17 00:26:00,12.0,2.88,11.5,-5.01
2021-07-17 00:27:00,0.5,2.12,-11.5,-0.76
2021-07-17 00:28:00,0.5,7.42,0.0,5.3
2021-07-17 00:29:00,0.5,25.31,0.0,17.89
2021-07-17 00:30:00,10.0,23.08,9.5,-2.23
2021-07-17 00:31:00,19.5,7.06,9.5,-16.02
2021-07-17 00:32:00,0.5,4.81,-19.0,-2.25
2021-07-17 00:33:00,2.0,8.14,1.5,3.33
2021-07-17 00:34:00,2.5,5.33,0.5,-2.81
2021-07-17 00:35:00,2.5,1.53,0.0,-3.8
2021-07-17 00:36:00,0.5,3.1,-2.0,1.57
2021-07-17 00:37:00,0.5,4.04,0.0,0.94
2021-07-17 00:38:00,10.0,2.94,9.5,-1.1
2021-07-17 00:39:00,4.0,6.95,-6.0,4.01
2021-07-17 00:40:00,16.5,16.52,12.5,9.57
2021-07-17 00:41:00,1.0,15.69,-15.5,-0.83
2021-07-17 00:42:00,26.0,28.25,25.0,12.56
2021-07-17 00:43:00,61.0,11.01,35.0,-17.24
2021-07-17 00:44:00,0.5,14.51,-60.5,3.5
2021-07-17 00:45:00,32.0,17.02,31.5,2.51
2021-07-17 00:46:00,8.5,11.11,-23.5,-5.91
2021-07-17 00:47:00,0.5,8.21,-8.0,-2.9
2021-07-17 00:48:00,33.5,8.27,33.0,0.06
2021-07-17 00:49:00,13.5,22.37,-20.0,14.1
2021-07-17 00:50:00,26.5,10.18,13.0,-12.19
2021-07-17 00:51:00,4.0,18.64,-22.5,8.46
2021-07-17 00:52:00,1.0,2.31,-3.0,-16.33
2021-07-17 00:53:00,4.5,0.46,3.5,-1.85
2021-07-17 00:54:00,16.0,5.03,11.5,4.57
2021-07-17 00:55:00,29.5,3.57,13.5,-1.46
2021-07-17 00:56:00,8.5,0.92,-21.0,-2.65
2021-07-17 00:57:00,4.0,3.15,-4.5,2.23
2021-07-17 00:58:00,12.5,0.11,8.5,-3.04
2021-07-17 00:59:00,30.0,39.05,17.5,38.94
2021-07-17 01:00:00,0.5,36.73,-29.5,-2.32
2021-07-17 01:01:00,44.5,79.52,44.0,42.79
2021-07-17 01:02:00,1.5,72.23,-43.0,-7.29
2021-07-17 01:03:00,35.0,87.76,33.5,15.53
2021-07-17 01:04:00,6.0,83.57,-29.0,-4.19
2021-07-17 01:05:00,4.5,1.46,-1.5,-82.11
2021-07-17 01:06:00,4.5,10.15,0.0,8.69
2021-07-17 01:07:00,0.5,2.29,-4.0,-7.86
2021-07-17 01:08:00,0.5,8.77,0.0,6.48
2021-07-17 01:09:00,2.5,9.65,2.0,0.88
2021-07-17 01:10:00,31.5,25.17,29.0,15.52
2021-07-17 01:11:00,17.5,13.44,-14.0,-11.73
2021-07-17 01:12:00,53.0,14.34,35.5,0.9
2021-07-17 01:13:00,8.5,17.16,-44.5,2.82
2021-07-17 01:14:00,14.0,5.23,5.5,-11.93
2021-07-17 01:15:00,9.5,1.77,-4.5,-3.46
2021-07-17 01:16:00,1.5,15.6,-8.0,13.83
2021-07-17 01:17:00,7.0,9.71,5.5,-5.89
2021-07-17 01:18:00,0.5,15.58,-6.5,5.87
2021-07-17 01:19:00,2.0,11.08,1.5,-4.5
2021-07-17 01:20:00,0.5,1.49,-1.5,-9.59
2021-07-17 01:21:00,7.0,0.68,6.5,-0.81
2021-07-17 01:22:00,0.5,8.33,-6.5,7.65
2021-07-17 01:23:00,0.5,0.7,0.0,-7.63
2021-07-17 01:24:00,0.5,1.65,0.0,0.95
2021-07-17 01:25:00,15.5,4.76,15.0,3.11
2021-07-17 01:26:00,17.0,7.76,1.5,3.0
2021-07-17 01:27:00,17.0,14.37,0.0,6.61
2021-07-17 01:28:00,0.5,0.61,-16.5,-13.76
2021-07-17 01:29:00,0.5,0.07,0.0,-0.54
2021-07-17 01:30:00,22.5,11.0,22.0,10.93
2021-07-17 01:31:00,0.5,5.13,-22.0,-5.87
2021-07-17 01:32:00,40.5,37.42,40.0,32.29
2021-07-17 01:33:00,27.0,28.7,-13.5,-8.72
2021-07-17 01:34:00,3.5,8.9,-23.5,-19.8
2021-07-17 01:35:00,7.5,1.96,4.0,-6.94
2021-07-17 01:36:00,0.5,5.83,-7.0,3.87
2021-07-17 01:37:00,27.0,7.71,26.5,1.88
2021-07-17 01:38:00,11.5,19.83,-15.5,12.12
2021-07-17 01:39:00,15.0,13.22,3.5,-6.61
2021-07-17 01:40:00,11.0,1.32,-4.0,-11.9
2021-07-17 01:41:00,15.0,0.16,4.0,-1.16
2021-07-17 01:42:00,35.0,6.79,20.0,6.63
2021-07-17 01:43:00,0.5,12.13,-34.5,5.34
2021-07-17 01:44:00,0.5,1.99,0.0,-10.14
2021-07-17 01:45:00,31.5,8.04,31.0,6.05
2021-07-17 01:46:00,12.0,8.75,-19.5,0.71
2021-07-17 01:47:00,10.5,4.61,-1.5,-4.14
2021-07-17 01:48:00,27.5,34.94,17.0,30.33
2021-07-17 01:49:00,21.5,26.9,-6.0,-8.04
2021-07-17 01:50:00,44.0,1.97,22.5,-24.93
2021-07-17 01:51:00,18.0,4.34,-26.0,2.37
2021-07-17 01:52:00,5.5,11.27,-12.5,6.93
2021-07-17 01:53:00,14.0,3.82,8.5,-7.45
2021-07-17 01:54:00,9.5,10.04,-4.5,6.22
2021-07-17 01:55:00,1.0,10.56,-8.5,0.52
2021-07-17 01:56:00,0.5,9.11,-0.5,-1.45
2021-07-17 01:57:00,4.5,2.2,4.0,-6.91
2021-07-17 01:58:00,0.5,0.31,-4.0,-1.89
2021-07-17 01:59:00,0.5,0.09,0.0,-0.22
2021-07-17 02:00:00,9.0,2.36,8.5,2.27
2021-07-17 02:01:00,28.5,0.41,19.5,-1.95
2021-07-17 02:02:00,22.0,0.42,-6.5,0.01
2021-07-17 02:03:00,10.0,1.02,-12.0,0.6
2021-07-17 02:04:00,16.0,2.57,6.0,1.55
2021-07-17 02:05:00,31.0,0.58,15.0,-1.99
2021-07-17 02:06:00,19.0,3.64,-12.0,3.06
2021-07-17 02:07:00,0.5,6.89,-18.5,3.25
2021-07-17 02:08:00,1.0,0.9,0.5,-5.99
2021-07-17 02:09:00,1.0,3.04,0.0,2.14
2021-07-17 02:10:00,30.0,2.22,29.0,-0.82
2021-07-17 02:11:00,0.5,3.17,-29.5,0.95
2021-07-17 02:12:00,10.5,5.12,10.0,1.95
2021-07-17 02:13:00,10.5,11.18,0.0,6.06
2021-07-17 02:14:00,2.5,15.45,-8.0,4.27
2021-07-17 02:15:00,24.5,11.19,22.0,-4.26
2021-07-17 02:16:00,13.0,2.61,-11.5,-8.58
2021-07-17 02:17:00,9.0,1.38,-4.0,-1.23
2021-07-17 02:18:00,0.5,5.06,-8.5,3.68
2021-07-17 02:19:00,4.5,4.11,4.0,-0.95
2021-07-17 02:20:00,27.5,0.93,23.0,-3.18
2021-07-17 02:21:00,5.5,0.11,-22.0,-0.82
2021-07-17 02:22:00,45.0,45.81,39.5,45.7
2021-07-17 02:23:00,4.5,33.96,-40.5,-11.85
2021-07-17 02:24:00,0.5,12.78,-4.0,-21.18
