timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2024-05-23 00:00:00,82.8,,,
2024-05-23 00:01:00,67.0,40.58,-15.8,
2024-05-23 00:02:00,77.7,6.1,10.7,-34.48
2024-05-23 00:03:00,47.6,39.36,-30.1,33.26
2024-05-23 00:04:00,23.6,0.47,-24.0,-38.89
2024-05-23 00:05:00,77.7,38.48,54.1,38.01
2024-05-23 00:06:00,124.6,3.57,46.9,-34.91
2024-05-23 00:07:00,173.1,251.01,48.5,247.44
2024-05-23 00:08:00,189.1,176.63,16.0,-74.38
2024-05-23 00:09:00,74.6,77.62,-114.5,-99.01
2024-05-23 00:10:00,124.0,74.04,49.4,-3.58
2024-05-23 00:11:00,66.9,38.57,-57.1,-35.47
2024-05-23 00:12:00,88.4,109.34,21.5,70.77
2024-05-23 00:13:00,63.8,41.81,-24.6,-67.53
2024-05-23 00:14:00,31.7,6.63,-32.1,-35.18
2024-05-23 00:15:00,84.7,63.05,53.0,56.42
2024-05-23 00:16:00,37.5,36.99,-47.2,-26.06
2024-05-23 00:17:00,99.7,107.45,62.2,70.46
2024-05-23 00:18:00,54.0,82.16,-45.7,-25.29
2024-05-23 00:19:00,55.0,24.46,1.0,-57.7
2024-05-23 00:20:00,59.1,3.25,4.1,-21.21
2024-05-23 00:21:00,50.0,25.73,-9.1,22.48
2024-05-23 00:22:00,21.5,3.72,-28.5,-22.01
2024-05-23 00:23:00,29.9,8.31,8.4,4.59
2024-05-23 00:24:00,27.1,4.8,-2.8,-3.51
2024-05-23 00:25:00,48.0,18.03,20.9,13.23
2024-05-23 00:26:00,23.5,1.84,-24.5,-16.19
2024-05-23 00:27:00,26.9,11.99,3.4,10.15
2024-05-23 00:28:00,36.3,9.13,9.4,-2.86
2024-05-23 00:29:00,37.4,8.09,1.1,-1.04
2024-05-23 00:30:00,41.2,11.78,3.8,3.69
2024-05-23 00:31:00,27.5,7.19,-13.7,-4.59
2024-05-23 00:32:00,26.0,11.09,-1.5,3.9
2024-05-23 00:33:00,37.1,8.65,11.1,-2.44
2024-05-23 00:34:00,106.5,18.06,69.4,9.41
2024-05-23 00:35:00,71.9,7.06,-34.6,-11.0
2024-05-23 00:36:00,50.2,18.46,-21.7,11.4
2024-05-23 00:37:00,58.6,120.6,8.4,102.14
2024-05-23 00:38:00,52.1,39.5,-6.5,-81.1
2024-05-23 00:39:00,57.3,2.04,5.2,-37.46
2024-05-23 00:40:00,83.0,47.0,25.7,44.96
2024-05-23 00:41:00,102.3,12.53,19.3,-34.47
2024-05-23 00:42:00,29.3,20.97,-73.0,8.44
2024-05-23 00:43:00,30.0,5.59,0.7,-15.38
2024-05-23 00:44:00,14.0,1.22,-16.0,-4.37
2024-05-23 00:45:00,80.6,64.3,66.6,63.08
2024-05-23 00:46:00,54.1,53.86,-26.5,-10.44
2024-05-23 00:47:00,24.6,14.07,-29.5,-39.79
2024-05-23 00:48:00,46.8,0.47,22.2,-13.6
2024-05-23 00:49:00,66.4,78.08,19.6,77.61
2024-05-23 00:50:00,73.1,53.41,6.7,-24.67
2024-05-23 00:51:00,48.6,19.16,-24.5,-34.25
2024-05-23 00:52:00,32.7,1.95,-15.9,-17.21
2024-05-23 00:53:00,31.4,0.92,-1.3,-1.03
2024-05-23 00:54:00,31.9,21.42,0.5,20.5
2024-05-23 00:55:00,36.6,14.2,4.7,-7.22
2024-05-23 00:56:00,13.0,2.39,-23.6,-11.81
2024-05-23 00:57:00,28.4,7.92,15.4,5.53
2024-05-23 00:58:00,38.7,5.63,10.3,-2.29
2024-05-23 00:59:00,43.4,4.42,4.7,-1.21
2024-05-23 01:00:00,55.4,21.05,12.0,16.63
2024-05-23 01:01:00,25.7,28.36,-29.7,7.31
2024-05-23 01:02:00,104.2,83.19,78.5,54.83
2024-05-23 01:03:00,32.5,66.32,-71.7,-16.87
2024-05-23 01:04:00,36.0,8.39,3.5,-57.93
2024-05-23 01:05:00,41.9,24.14,5.9,15.75
2024-05-23 01:06:00,41.6,25.11,-0.3,0.97
2024-05-23 01:07:00,18.5,12.91,-23.1,-12.2
2024-05-23 01:08:00,16.2,2.26,-2.3,-10.65
2024-05-23 01:09:00,105.8,24.53,89.6,22.27
2024-05-23 01:10:00,31.2,21.74,-74.6,-2.79
2024-05-23 01:11:00,24.7,2.37,-6.5,-19.37
2024-05-23 01:12:00,18.1,15.18,-6.6,12.81
2024-05-23 01:13:00,42.0,15.4,23.9,0.22
2024-05-23 01:14:00,43.0,0.52,1.0,-14.88
2024-05-23 01:15:00,46.2,12.85,3.2,12.33
2024-05-23 01:16:00,26.5,28.09,-19.7,15.24
2024-05-23 01:17:00,34.9,0.53,8.4,-27.56
2024-05-23 01:18:00,48.1,14.01,13.2,13.48
2024-05-23 01:19:00,84.0,16.91,35.9,2.9
2024-05-23 01:20:00,37.1,19.61,-46.9,2.7
2024-05-23 01:21:00,44.0,7.49,6.9,-12.12
2024-05-23 01:22:00,21.5,2.55,-22.5,-4.94
2024-05-23 01:23:00,59.4,13.47,37.9,10.92
2024-05-23 01:24:00,76.4,0.65,17.0,-12.82
2024-05-23 01:25:00,83.9,45.19,7.5,44.54
2024-05-23 01:26:00,41.2,54.33,-42.7,9.14
2024-05-23 01:27:00,50.5,21.96,9.3,-32.37
2024-05-23 01:28:00,99.4,3.41,48.9,-18.55
2024-05-23 01:29:00,139.5,87.12,40.1,83.71
2024-05-23 01:30:00,112.7,40.38,-26.8,-46.74
2024-05-23 01:31:00,69.3,4.8,-43.4,-35.58
2024-05-23 01:32:00,76.1,53.67,6.8,48.87
2024-05-23 01:33:00,76.0,25.04,-0.1,-28.63
2024-05-23 01:34:00,42.4,27.74,-33.6,2.7
2024-05-23 01:35:00,35.2,1.0,-7.2,-26.74
2024-05-23 01:36:00,76.4,31.18,41.2,30.18
2024-05-23 01:37:00,59.8,128.9,-16.6,97.72
2024-05-23 01:38:00,22.9,133.6,-36.9,4.7
2024-05-23 01:39:00,16.4,31.64,-6.5,-101.96
2024-05-23 01:40:00,44.7,16.21,28.3,-15.43
2024-05-23 01:41:00,62.0,3.91,17.3,-12.3
2024-05-23 01:42:00,14.0,18.81,-48.0,14.9
2024-05-23 01:43:00,31.6,5.29,17.6,-13.52
2024-05-23 01:44:00,44.5,10.85,12.9,5.56
2024-05-23 01:45:00,32.0,17.35,-12.5,6.5
2024-05-23 01:46:00,101.7,54.15,69.7,36.8
2024-05-23 01:47:00,78.9,29.21,-22.8,-24.94
2024-05-23 01:48:00,67.2,41.41,-11.7,12.2
2024-05-23 01:49:00,53.9,6.8,-13.3,-34.61
2024-05-23 01:50:00,312.8,542.91,258.9,536.11
2024-05-23 01:51:00,181.0,324.74,-131.8,-218.17
2024-05-23 01:52:00,100.5,125.16,-80.5,-199.58
2024-05-23 01:53:00,70.2,43.08,-30.3,-82.08
2024-05-23 01:54:00,42.3,14.61,-27.9,-28.47
2024-05-23 01:55:00,63.7,9.57,21.4,-5.04
2024-05-23 01:56:00,55.1,6.28,-8.6,-3.29
2024-05-23 01:57:00,78.6,24.56,23.5,18.28
2024-05-23 01:58:00,59.1,68.55,-19.5,43.99
2024-05-23 01:59:00,70.6,22.39,11.5,-46.16
2024-05-23 02:00:00,87.8,1.87,17.2,-20.52
2024-05-23 02:01:00,103.4,4.96,15.6,3.09
2024-05-23 02:02:00,77.2,48.8,-26.2,43.84
2024-05-23 02:03:00,41.5,55.12,-35.7,6.32
2024-05-23 02:04:00,144.6,91.95,103.1,36.83
2024-05-23 02:05:00,96.4,107.68,-48.2,15.73
