timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-02-14 00:00:00,41.5,,,
2021-02-14 00:01:00,38.5,6.85,-3.0,
2021-02-14 00:02:00,28.0,5.21,-10.5,-1.64
2021-02-14 00:03:00,0.5,0.82,-27.5,-4.39
2021-02-14 00:04:00,52.0,0.31,51.5,-0.51
2021-02-14 00:05:00,68.0,0.61,16.0,0.3
2021-02-14 00:06:00,60.5,7.48,-7.5,6.87
2021-02-14 00:07:00,62.0,9.81,1.5,2.33
2021-02-14 00:08:00,38.0,0.83,-24.0,-8.98
2021-02-14 00:09:00,44.0,0.11,6.0,-0.72
2021-02-14 00:10:00,57.0,0.92,13.0,0.81
2021-02-14 00:11:00,34.0,4.55,-23.0,3.63
2021-02-14 00:12:00,28.5,2.26,-5.5,-2.29
2021-02-14 00:13:00,85.5,1.66,57.0,-0.6
2021-02-14 00:14:00,50.0,33.38,-35.5,31.72
2021-02-14 00:15:00,24.0,33.73,-26.0,0.35
2021-02-14 00:16:00,51.5,0.6,27.5,-33.13
2021-02-14 00:17:00,39.0,2.5,-12.5,1.9
2021-02-14 00:18:00,74.0,3.64,35.0,1.14
2021-02-14 00:19:00,34.0,0.65,-40.0,-2.99
2021-02-14 00:20:00,40.0,4.72,6.0,4.07
2021-02-14 00:21:00,15.5,0.97,-24.5,-3.75
2021-02-14 00:22:00,29.0,0.01,13.5,-0.96
2021-02-14 00:23:00,25.5,0.08,-3.5,0.07
2021-02-14 00:24:00,29.0,0.03,3.5,-0.05
2021-02-14 00:25:00,30.5,2.42,1.5,2.39
2021-02-14 00:26:00,30.0,0.34,-0.5,-2.08
2021-02-14 00:27:00,43.0,1.75,13.0,1.41
2021-02-14 00:28:00,7.0,3.67,-36.0,1.92
2021-02-14 00:29:00,38.0,7.14,31.0,3.47
2021-02-14 00:30:00,29.5,0.58,-8.5,-6.56
2021-02-14 00:31:00,3.5,7.84,-26.0,7.26
2021-02-14 00:32:00,44.0,9.43,40.5,1.59
