timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-05-17 00:00:00,267.0,,,
2021-05-17 00:01:00,200.5,170.88,-66.5,
2021-05-17 00:02:00,217.0,101.51,16.5,-69.37
2021-05-17 00:03:00,244.5,5.87,27.5,-95.64
2021-05-17 00:04:00,449.0,25.52,204.5,19.65
2021-05-17 00:05:00,422.5,10.44,-26.5,-15.08
2021-05-17 00:06:00,281.0,4.06,-141.5,-6.38
2021-05-17 00:07:00,178.0,71.0,-103.0,66.94
2021-05-17 00:08:00,194.0,21.65,16.0,-49.35
2021-05-17 00:09:00,196.0,32.67,2.0,11.02
2021-05-17 00:10:00,120.0,42.32,-76.0,9.65
2021-05-17 00:11:00,170.5,46.43,50.5,4.11
2021-05-17 00:12:00,152.0,39.96,-18.5,-6.47
2021-05-17 00:13:00,132.5,2.45,-19.5,-37.51
2021-05-17 00:14:00,220.5,63.07,88.0,60.62
2021-05-17 00:15:00,369.5,45.99,149.0,-17.08
2021-05-17 00:16:00,157.5,104.79,-212.0,58.8
2021-05-17 00:17:00,181.5,31.08,24.0,-73.71
2021-05-17 00:18:00,155.5,25.03,-26.0,-6.05
2021-05-17 00:19:00,112.0,9.39,-43.5,-15.64
2021-05-17 00:20:00,171.5,12.24,59.5,2.85
2021-05-17 00:21:00,247.0,105.26,75.5,93.02
2021-05-17 00:22:00,253.5,4.96,6.5,-100.3
2021-05-17 00:23:00,291.0,13.11,37.5,8.15
2021-05-17 00:24:00,501.0,198.04,210.0,184.93
2021-05-17 00:25:00,262.5,211.17,-238.5,13.13
2021-05-17 00:26:00,466.5,177.96,204.0,-33.21
2021-05-17 00:27:00,178.0,253.25,-288.5,75.29
2021-05-17 00:28:00,134.5,0.47,-43.5,-252.78
2021-05-17 00:29:00,380.5,159.35,246.0,158.88
2021-05-17 00:30:00,310.0,21.08,-70.5,-138.27
2021-05-17 00:31:00,308.0,106.33,-2.0,85.25
2021-05-17 00:32:00,124.5,73.44,-183.5,-32.89
2021-05-17 00:33:00,93.5,39.06,-31.0,-34.38
2021-05-17 00:34:00,297.5,64.22,204.0,25.16
2021-05-17 00:35:00,224.0,5.2,-73.5,-59.02
2021-05-17 00:36:00,79.0,37.47,-145.0,32.27
2021-05-17 00:37:00,335.0,18.28,256.0,-19.19
2021-05-17 00:38:00,264.5,1.24,-70.5,-17.04
2021-05-17 00:39:00,132.5,63.82,-132.0,62.58
2021-05-17 00:40:00,501.5,113.96,369.0,50.14
2021-05-17 00:41:00,232.5,171.1,-269.0,57.14
2021-05-17 00:42:00,188.0,12.24,-44.5,-158.86
2021-05-17 00:43:00,222.5,30.11,34.5,17.87
2021-05-17 00:44:00,117.0,0.05,-105.5,-30.06
2021-05-17 00:45:00,144.0,15.94,27.0,15.89
2021-05-17 00:46:00,76.5,29.21,-67.5,13.27
2021-05-17 00:47:00,99.0,5.71,22.5,-23.5
2021-05-17 00:48:00,142.0,18.53,43.0,12.82
2021-05-17 00:49:00,303.0,28.84,161.0,10.31
2021-05-17 00:50:00,122.5,58.09,-180.5,29.25
2021-05-17 00:51:00,207.0,11.04,84.5,-47.05
2021-05-17 00:52:00,145.0,21.56,-62.0,10.52
2021-05-17 00:53:00,166.0,21.8,21.0,0.24
2021-05-17 00:54:00,117.5,11.84,-48.5,-9.96
2021-05-17 00:55:00,59.5,1.86,-58.0,-9.98
2021-05-17 00:56:00,155.0,47.61,95.5,45.75
2021-05-17 00:57:00,94.0,11.47,-61.0,-36.14
2021-05-17 00:58:00,189.0,66.82,95.0,55.35
2021-05-17 00:59:00,55.0,11.76,-134.0,-55.06
2021-05-17 01:00:00,180.0,10.08,125.0,-1.68
2021-05-17 01:01:00,247.5,94.89,67.5,84.81
2021-05-17 01:02:00,146.5,69.94,-101.0,-24.95
2021-05-17 01:03:00,94.0,34.53,-52.5,-35.41
2021-05-17 01:04:00,103.5,2.58,9.5,-31.95
2021-05-17 01:05:00,73.0,14.53,-30.5,11.95
2021-05-17 01:06:00,176.5,2.08,103.5,-12.45
2021-05-17 01:07:00,104.5,19.05,-72.0,16.97
2021-05-17 01:08:00,147.0,4.62,42.5,-14.43
2021-05-17 01:09:00,118.0,2.23,-29.0,-2.39
2021-05-17 01:10:00,258.5,79.98,140.5,77.75
2021-05-17 01:11:00,143.5,53.77,-115.0,-26.21
2021-05-17 01:12:00,219.0,21.91,75.5,-31.86
2021-05-17 01:13:00,108.5,25.9,-110.5,3.99
2021-05-17 01:14:00,196.5,34.24,88.0,8.34
2021-05-17 01:15:00,89.0,4.55,-107.5,-29.69
2021-05-17 01:16:00,118.0,30.05,29.0,25.5
2021-05-17 01:17:00,174.0,27.46,56.0,-2.59
2021-05-17 01:18:00,224.5,9.78,50.5,-17.68
2021-05-17 01:19:00,155.5,31.4,-69.0,21.62
2021-05-17 01:20:00,197.5,101.97,42.0,70.57
2021-05-17 01:21:00,120.5,35.11,-77.0,-66.86
2021-05-17 01:22:00,160.0,66.53,39.5,31.42
2021-05-17 01:23:00,175.0,66.88,15.0,0.35
2021-05-17 01:24:00,602.5,624.71,427.5,557.83
2021-05-17 01:25:00,516.0,395.84,-86.5,-228.87
2021-05-17 01:26:00,436.5,73.74,-79.5,-322.1
2021-05-17 01:27:00,270.5,131.89,-166.0,58.15
2021-05-17 01:28:00,227.0,26.11,-43.5,-105.78
2021-05-17 01:29:00,154.5,62.16,-72.5,36.05
2021-05-17 01:30:00,304.5,16.22,150.0,-45.94
2021-05-17 01:31:00,68.0,50.54,-236.5,34.32
2021-05-17 01:32:00,264.0,62.86,196.0,12.32
2021-05-17 01:33:00,292.5,23.26,28.5,-39.6
2021-05-17 01:34:00,365.5,17.46,73.0,-5.8
2021-05-17 01:35:00,183.5,16.41,-182.0,-1.05
2021-05-17 01:36:00,159.5,58.51,-24.0,42.1
2021-05-17 01:37:00,71.5,72.9,-88.0,14.39
2021-05-17 01:38:00,181.5,211.24,110.0,138.34
2021-05-17 01:39:00,54.5,227.07,-127.0,15.83
2021-05-17 01:40:00,138.0,4.32,83.5,-222.75
2021-05-17 01:41:00,294.0,212.3,156.0,207.98
2021-05-17 01:42:00,186.0,135.3,-108.0,-77.0
2021-05-17 01:43:00,209.0,49.17,23.0,-86.13
2021-05-17 01:44:00,205.5,3.92,-3.5,-45.25
2021-05-17 01:45:00,139.5,16.61,-66.0,12.69
2021-05-17 01:46:00,220.0,37.95,80.5,21.34
2021-05-17 01:47:00,111.5,21.84,-108.5,-16.11
2021-05-17 01:48:00,129.0,27.56,17.5,5.72
2021-05-17 01:49:00,182.0,58.47,53.0,30.91
2021-05-17 01:50:00,139.5,54.39,-42.5,-4.08
2021-05-17 01:51:00,161.0,10.52,21.5,-43.87
2021-05-17 01:52:00,140.5,10.64,-20.5,0.12
2021-05-17 01:53:00,357.5,172.23,217.0,161.59
2021-05-17 01:54:00,121.0,123.47,-236.5,-48.76
2021-05-17 01:55:00,178.0,1.28,57.0,-122.19
2021-05-17 01:56:00,162.0,45.66,-16.0,44.38
2021-05-17 01:57:00,335.0,123.23,173.0,77.57
2021-05-17 01:58:00,244.5,56.92,-90.5,-66.31
2021-05-17 01:59:00,223.5,40.61,-21.0,-16.31
2021-05-17 02:00:00,103.0,13.62,-120.5,-26.99
2021-05-17 02:01:00,277.0,54.69,174.0,41.07
2021-05-17 02:02:00,141.0,24.13,-136.0,-30.56
2021-05-17 02:03:00,264.0,12.12,123.0,-12.01
2021-05-17 02:04:00,261.5,40.96,-2.5,28.84
2021-05-17 02:05:00,250.5,29.59,-11.0,-11.37
2021-05-17 02:06:00,104.5,53.27,-146.0,23.68
2021-05-17 02:07:00,111.5,2.4,7.0,-50.87
2021-05-17 02:08:00,249.0,63.72,137.5,61.32
2021-05-17 02:09:00,115.5,51.93,-133.5,-11.79
2021-05-17 02:10:00,228.0,76.06,112.5,24.13
2021-05-17 02:11:00,189.5,13.85,-38.5,-62.21
2021-05-17 02:12:00,582.5,550.73,393.0,536.88
2021-05-17 02:13:00,452.5,251.64,-130.0,-299.09
2021-05-17 02:14:00,296.0,174.83,-156.5,-76.81
2021-05-17 02:15:00,358.5,54.39,62.5,-120.44
2021-05-17 02:16:00,490.5,40.51,132.0,-13.88
2021-05-17 02:17:00,266.5,36.78,-224.0,-3.73
2021-05-17 02:18:00,213.5,43.61,-53.0,6.83
2021-05-17 02:19:00,232.0,32.8,18.5,-10.81
2021-05-17 02:20:00,334.5,18.32,102.5,-14.48
2021-05-17 02:21:00,156.5,21.48,-178.0,3.16
2021-05-17 02:22:00,284.5,16.78,128.0,-4.7
2021-05-17 02:23:00,120.0,12.71,-164.5,-4.07
2021-05-17 02:24:00,124.0,37.26,4.0,24.55
2021-05-17 02:25:00,178.5,42.8,54.5,5.54
2021-05-17 02:26:00,201.0,63.58,22.5,20.78
2021-05-17 02:27:00,116.0,4.71,-85.0,-58.87
2021-05-17 02:28:00,434.5,122.29,318.5,117.58
2021-05-17 02:29:00,185.0,67.99,-249.5,-54.3
2021-05-17 02:30:00,286.0,17.93,101.0,-50.06
2021-05-17 02:31:00,159.0,21.15,-127.0,3.22
2021-05-17 02:32:00,204.0,33.13,45.0,11.98
2021-05-17 02:33:00,184.0,133.61,-20.0,100.48
2021-05-17 02:34:00,88.0,45.56,-96.0,-88.05
2021-05-17 02:35:00,143.5,138.24,55.5,92.68
2021-05-17 02:36:00,144.5,35.65,1.0,-102.59
2021-05-17 02:37:00,250.0,10.33,105.5,-25.32
2021-05-17 02:38:00,258.5,22.68,8.5,12.35
2021-05-17 02:39:00,89.0,17.51,-169.5,-5.17
2021-05-17 02:40:00,181.5,13.95,92.5,-3.56
2021-05-17 02:41:00,125.0,19.64,-56.5,5.69
2021-05-17 02:42:00,142.5,23.83,17.5,4.19
2021-05-17 02:43:00,152.5,15.89,10.0,-7.94
2021-05-17 02:44:00,99.0,2.91,-53.5,-12.98
2021-05-17 02:45:00,206.5,7.02,107.5,4.11
2021-05-17 02:46:00,146.5,0.55,-60.0,-6.47
2021-05-17 02:47:00,147.5,18.81,1.0,18.26
2021-05-17 02:48:00,134.0,5.22,-13.5,-13.59
2021-05-17 02:49:00,149.5,160.61,15.5,155.39
2021-05-17 02:50:00,198.5,61.12,49.0,-99.49
2021-05-17 02:51:00,138.0,104.82,-60.5,43.7
2021-05-17 02:52:00,218.5,70.6,80.5,-34.22
2021-05-17 02:53:00,231.0,40.32,12.5,-30.28
2021-05-17 02:54:00,92.0,65.84,-139.0,25.52
2021-05-17 02:55:00,193.5,37.74,101.5,-28.1
2021-05-17 02:56:00,94.0,1.76,-99.5,-35.98
2021-05-17 02:57:00,106.0,7.87,12.0,6.11
2021-05-17 02:58:00,83.5,1.26,-22.5,-6.61
2021-05-17 02:59:00,36.0,5.69,-47.5,4.43
2021-05-17 03:00:00,238.0,41.53,202.0,35.84
2021-05-17 03:01:00,165.0,32.02,-73.0,-9.51
2021-05-17 03:02:00,127.5,8.25,-37.5,-23.77
2021-05-17 03:03:00,200.0,65.88,72.5,57.63
2021-05-17 03:04:00,196.0,67.1,-4.0,1.22
2021-05-17 03:05:00,407.5,55.49,211.5,-11.61
2021-05-17 03:06:00,389.0,4.5,-18.5,-50.99
2021-05-17 03:07:00,116.5,28.21,-272.5,23.71
2021-05-17 03:08:00,248.0,59.1,131.5,30.89
2021-05-17 03:09:00,130.0,12.84,-118.0,-46.26
2021-05-17 03:10:00,167.0,9.33,37.0,-3.51
2021-05-17 03:11:00,48.5,2.61,-118.5,-6.72
2021-05-17 03:12:00,252.5,44.91,204.0,42.3
2021-05-17 03:13:00,190.0,11.27,-62.5,-33.64
2021-05-17 03:14:00,117.0,0.12,-73.0,-11.15
2021-05-17 03:15:00,151.0,10.33,34.0,10.21
2021-05-17 03:16:00,242.0,4.81,91.0,-5.52
2021-05-17 03:17:00,228.0,19.32,-14.0,14.51
2021-05-17 03:18:00,141.5,33.37,-86.5,14.05
2021-05-17 03:19:00,202.5,18.32,61.0,-15.05
2021-05-17 03:20:00,194.5,16.51,-8.0,-1.81
2021-05-17 03:21:00,97.5,0.34,-97.0,-16.17
2021-05-17 03:22:00,104.5,5.15,7.0,4.81
2021-05-17 03:23:00,100.5,4.4,-4.0,-0.75
2021-05-17 03:24:00,189.5,11.14,89.0,6.74
2021-05-17 03:25:00,108.0,23.45,-81.5,12.31
2021-05-17 03:26:00,60.0,8.13,-48.0,-15.32
2021-05-17 03:27:00,174.0,19.49,114.0,11.36
2021-05-17 03:28:00,109.0,0.23,-65.0,-19.26
2021-05-17 03:29:00,137.0,5.44,28.0,5.21
2021-05-17 03:30:00,128.0,16.15,-9.0,10.71
2021-05-17 03:31:00,143.0,44.0,15.0,27.85
2021-05-17 03:32:00,130.0,69.95,-13.0,25.95
2021-05-17 03:33:00,108.0,65.73,-22.0,-4.22
2021-05-17 03:34:00,196.0,71.17,88.0,5.44
2021-05-17 03:35:00,188.0,21.12,-8.0,-50.05
2021-05-17 03:36:00,147.0,38.9,-41.0,17.78
2021-05-17 03:37:00,135.5,14.22,-11.5,-24.68
2021-05-17 03:38:00,108.0,41.81,-27.5,27.59
2021-05-17 03:39:00,29.5,46.3,-78.5,4.49
2021-05-17 03:40:00,232.0,19.62,202.5,-26.68
2021-05-17 03:41:00,192.0,0.96,-40.0,-18.66
2021-05-17 03:42:00,82.5,1.56,-109.5,0.6
2021-05-17 03:43:00,66.5,21.4,-16.0,19.84
2021-05-17 03:44:00,99.5,31.5,33.0,10.1
2021-05-17 03:45:00,155.0,100.62,55.5,69.12
2021-05-17 03:46:00,187.0,75.08,32.0,-25.54
2021-05-17 03:47:00,167.0,49.97,-20.0,-25.11
2021-05-17 03:48:00,66.5,62.44,-100.5,12.47
2021-05-17 03:49:00,257.5,38.9,191.0,-23.54
2021-05-17 03:50:00,191.0,15.6,-66.5,-23.3
2021-05-17 03:51:00,167.5,41.05,-23.5,25.45
2021-05-17 03:52:00,113.5,17.98,-54.0,-23.07
2021-05-17 03:53:00,218.5,25.5,105.0,7.52
2021-05-17 03:54:00,203.0,2.93,-15.5,-22.57
2021-05-17 03:55:00,61.0,39.11,-142.0,36.18
2021-05-17 03:56:00,66.0,2.81,5.0,-36.3
2021-05-17 03:57:00,69.0,0.06,3.0,-2.75
2021-05-17 03:58:00,65.5,2.16,-3.5,2.1
2021-05-17 03:59:00,81.5,1.2,16.0,-0.96
2021-05-17 04:00:00,202.5,43.37,121.0,42.17
2021-05-17 04:01:00,126.0,0.38,-76.5,-42.99
2021-05-17 04:02:00,41.0,48.56,-85.0,48.18
2021-05-17 04:03:00,137.5,13.89,96.5,-34.67
2021-05-17 04:04:00,52.5,14.54,-85.0,0.65
2021-05-17 04:05:00,72.0,22.11,19.5,7.57
2021-05-17 04:06:00,119.0,13.69,47.0,-8.42
2021-05-17 04:07:00,128.5,0.83,9.5,-12.86
