timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-04-15 00:00:00,147.5,,,
2021-04-15 00:01:00,51.5,17.4,-96.0,
2021-04-15 00:02:00,32.5,4.82,-19.0,-12.58
2021-04-15 00:03:00,208.5,29.17,176.0,24.35
2021-04-15 00:04:00,125.5,16.83,-83.0,-12.34
2021-04-15 00:05:00,46.0,12.18,-79.5,-4.65
2021-04-15 00:06:00,22.0,1.05,-24.0,-11.13
2021-04-15 00:07:00,67.0,14.69,45.0,13.64
2021-04-15 00:08:00,31.5,6.87,-35.5,-7.82
2021-04-15 00:09:00,21.5,6.0,-10.0,-0.87
2021-04-15 00:10:00,91.5,1.06,70.0,-4.94
2021-04-15 00:11:00,98.0,14.43,6.5,13.37
2021-04-15 00:12:00,128.5,11.89,30.5,-2.54
2021-04-15 00:13:00,30.0,5.24,-98.5,-6.65
2021-04-15 00:14:00,90.0,1.81,60.0,-3.43
2021-04-15 00:15:00,60.0,2.77,-30.0,0.96
2021-04-15 00:16:00,95.0,0.96,35.0,-1.81
2021-04-15 00:17:00,64.0,2.95,-31.0,1.99
2021-04-15 00:18:00,64.5,2.46,0.5,-0.49
2021-04-15 00:19:00,65.0,4.39,0.5,1.93
2021-04-15 00:20:00,35.5,3.73,-29.5,-0.66
2021-04-15 00:21:00,120.0,2.59,84.5,-1.14
2021-04-15 00:22:00,37.5,4.94,-82.5,2.35
2021-04-15 00:23:00,68.0,0.17,30.5,-4.77
2021-04-15 00:24:00,65.5,0.76,-2.5,0.59
2021-04-15 00:25:00,92.5,4.89,27.0,4.13
2021-04-15 00:26:00,86.0,16.45,-6.5,11.56
2021-04-15 00:27:00,111.5,9.43,25.5,-7.02
2021-04-15 00:28:00,77.0,19.37,-34.5,9.94
2021-04-15 00:29:00,47.5,32.15,-29.5,12.78
2021-04-15 00:30:00,231.5,13.55,184.0,-18.6
2021-04-15 00:31:00,63.0,13.01,-168.5,-0.54
2021-04-15 00:32:00,98.0,7.76,35.0,-5.25
2021-04-15 00:33:00,168.0,7.82,70.0,0.06
2021-04-15 00:34:00,275.0,28.79,107.0,20.97
2021-04-15 00:35:00,157.5,31.32,-117.5,2.53
2021-04-15 00:36:00,52.0,17.08,-105.5,-14.24
2021-04-15 00:37:00,67.0,18.5,15.0,1.42
2021-04-15 00:38:00,56.5,3.86,-10.5,-14.64
2021-04-15 00:39:00,60.5,5.9,4.0,2.04
2021-04-15 00:40:00,44.0,3.48,-16.5,-2.42
2021-04-15 00:41:00,62.0,5.04,18.0,1.56
2021-04-15 00:42:00,112.0,2.76,50.0,-2.28
2021-04-15 00:43:00,88.5,2.37,-23.5,-0.39
2021-04-15 00:44:00,37.0,10.66,-51.5,8.29
2021-04-15 00:45:00,44.0,12.8,7.0,2.14
2021-04-15 00:46:00,27.0,12.99,-17.0,0.19
2021-04-15 00:47:00,30.0,5.07,3.0,-7.92
2021-04-15 00:48:00,53.0,0.8,23.0,-4.27
2021-04-15 00:49:00,134.5,14.08,81.5,13.28
2021-04-15 00:50:00,107.5,1.53,-27.0,-12.55
2021-04-15 00:51:00,110.0,9.66,2.5,8.13
2021-04-15 00:52:00,29.5,6.38,-80.5,-3.28
2021-04-15 00:53:00,38.0,1.1,8.5,-5.28
2021-04-15 00:54:00,222.5,24.59,184.5,23.49
2021-04-15 00:55:00,155.0,22.21,-67.5,-2.38
2021-04-15 00:56:00,195.5,3.66,40.5,-18.55
2021-04-15 00:57:00,186.5,23.39,-9.0,19.73
2021-04-15 00:58:00,124.0,24.11,-62.5,0.72
2021-04-15 00:59:00,148.5,0.69,24.5,-23.42
2021-04-15 01:00:00,117.5,7.67,-31.0,6.98
2021-04-15 01:01:00,68.0,9.26,-49.5,1.59
2021-04-15 01:02:00,335.5,343.49,267.5,334.23
2021-04-15 01:03:00,256.0,269.83,-79.5,-73.66
2021-04-15 01:04:00,253.0,60.28,-3.0,-209.55
2021-04-15 01:05:00,109.0,4.65,-144.0,-55.63
2021-04-15 01:06:00,196.0,4.09,87.0,-0.56
2021-04-15 01:07:00,115.5,9.49,-80.5,5.4
2021-04-15 01:08:00,112.0,21.96,-3.5,12.47
2021-04-15 01:09:00,68.0,29.31,-44.0,7.35
2021-04-15 01:10:00,159.5,11.39,91.5,-17.92
2021-04-15 01:11:00,98.0,12.44,-61.5,1.05
2021-04-15 01:12:00,40.0,10.95,-58.0,-1.49
2021-04-15 01:13:00,68.5,24.99,28.5,14.04
2021-04-15 01:14:00,139.0,20.24,70.5,-4.75
2021-04-15 01:15:00,58.5,15.41,-80.5,-4.83
2021-04-15 01:16:00,19.0,2.33,-39.5,-13.08
2021-04-15 01:17:00,148.5,12.62,129.5,10.29
2021-04-15 01:18:00,90.0,5.12,-58.5,-7.5
2021-04-15 01:19:00,97.5,3.06,7.5,-2.06
2021-04-15 01:20:00,103.0,1.98,5.5,-1.08
2021-04-15 01:21:00,32.0,6.6,-71.0,4.62
2021-04-15 01:22:00,31.0,4.99,-1.0,-1.61
