startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1632681000000,43203,43203.5,43203,43203,1.61,69556.83
1632681060000,43203,43203.5,43203,43203,6.115,264186.345
1632681120000,43203,43203.5,43203,43203.5,0.604,26094.914
1632681180000,43203.5,43203.5,43203,43203,3.883,167757.249
1632681240000,43203,43203.5,43203,43203,1.154,49856.262
1632681300000,43203,43203.5,43203,43203.5,1.404,60657.714
1632681360000,43203.5,43203.5,43203,43203,4.342,187587.426
1632681420000,43203,43203.5,43203,43203.5,0.274,11837.759
1632681480000,43203.5,43203.5,43203,43203,3.838,165813.114
1632681540000,43203,43203.5,43203,43203.5,0.799,34519.5965
1632681600000,43203.5,43203.5,43200,43200.5,9.063,391526.1315
1632681660000,43200.5,43200.5,43200,43200,5.741,248011.2
1632681720000,43200,43200.5,43200,43200.5,7.94,343011.97
1632681780000,43200.5,43200.5,43200,43200,28.337,1224158.4
1632681840000,43200,43200.5,43200,43200,6.136,265075.2
1632681900000,43200,43200.5,43200,43200,1.109,47908.8
1632681960000,43200,43200.5,43198.5,43198.5,10.061,434620.1085
1632682020000,43198.5,43198.5,43196,43196.5,1.608,69459.972
1632682080000,43196.5,43196.5,43196,43196.5,1.027,44362.8055
1632682140000,43196.5,43196.5,43161.5,43172,4.841,208995.652
1632682200000,43172,43172,43171.5,43171.5,2.327,100460.0805
1632682260000,43171.5,43184,43171.5,43183.5,1.559,67323.0765
1632682320000,43183.5,43184,43183.5,43184,3.395,146609.68
1632682380000,43184,43184,43183.5,43183.5,0.22,9500.37
1632682440000,43183.5,43184,43183.5,43183.5,0.213,9198.0855
1632682500000,43183.5,43184,43183.5,43183.5,4.152,179297.892
1632682560000,43183.5,43184,43183.5,43183.5,5.703,246275.5005
1632682620000,43183.5,43192,43183.5,43192,2.873,124090.616
1632682680000,43192,43192.5,43192,43192.5,1.906,82324.905
1632682740000,43192.5,43192.5,43170.5,43171,3.702,159819.042
1632682800000,43171,43171,43166,43166,9.793,422724.638
1632682860000,43166,43166.5,43166,43166,5.486,236808.676
1632682920000,43166,43195.5,43166,43195.5,6.896,297876.168
1632682980000,43195.5,43195.5,43195,43195.5,1.05,45355.275
1632683040000,43195.5,43195.5,43195,43195,1.683,72697.185
1632683100000,43195,43195.5,43175,43175,0.899,38814.325
1632683160000,43175,43175.5,43170,43170.5,1.694,73130.827
1632683220000,43170.5,43170.5,43146,43147,24.103,1039972.141
1632683280000,43147,43147,43146.5,43147,1.64,70761.08
1632683340000,43147,43147,43146.5,43147,1.588,68517.436
1632683400000,43147,43147,43146.5,43146.5,1.505,64935.4825
1632683460000,43146.5,43147,43146.5,43147,3.534,152481.498
1632683520000,43147,43147,43146.5,43147,19.492,841021.324
1632683580000,43147,43147,43146.5,43147,2.179,94017.313
1632683640000,43147,43147,43122,43122,21.239,915868.158
1632683700000,43122,43122.5,43122,43122,1.477,63691.194
