timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-03-04 00:00:00,92.0,,,
2021-03-04 00:01:00,25.0,2.75,-67.0,
2021-03-04 00:02:00,40.0,4.2,15.0,1.45
2021-03-04 00:03:00,1.5,5.12,-38.5,0.92
2021-03-04 00:04:00,32.5,0.04,31.0,-5.08
2021-03-04 00:05:00,36.0,1.03,3.5,0.99
2021-03-04 00:06:00,38.5,3.52,2.5,2.49
2021-03-04 00:07:00,0.5,1.83,-38.0,-1.69
2021-03-04 00:08:00,51.0,17.4,50.5,15.57
2021-03-04 00:09:00,101.5,10.55,50.5,-6.85
2021-03-04 00:10:00,51.5,7.28,-50.0,-3.27
2021-03-04 00:11:00,28.5,0.07,-23.0,-7.21
2021-03-04 00:12:00,12.5,2.16,-16.0,2.09
2021-03-04 00:13:00,70.0,17.99,57.5,15.83
2021-03-04 00:14:00,49.5,15.49,-20.5,-2.5
2021-03-04 00:15:00,41.5,1.06,-8.0,-14.43
2021-03-04 00:16:00,153.0,29.14,111.5,28.08
2021-03-04 00:17:00,115.5,27.88,-37.5,-1.26
2021-03-04 00:18:00,59.0,55.14,-56.5,27.26
2021-03-04 00:19:00,75.0,5.97,16.0,-49.17
2021-03-04 00:20:00,15.0,7.29,-60.0,1.32
2021-03-04 00:21:00,50.0,1.39,35.0,-5.9
2021-03-04 00:22:00,0.5,3.16,-49.5,1.77
2021-03-04 00:23:00,22.5,5.28,22.0,2.12
2021-03-04 00:24:00,31.0,1.53,8.5,-3.75
2021-03-04 00:25:00,39.5,1.37,8.5,-0.16
2021-03-04 00:26:00,38.0,0.04,-1.5,-1.33
2021-03-04 00:27:00,51.5,1.98,13.5,1.94
2021-03-04 00:28:00,50.0,4.51,-1.5,2.53
2021-03-04 00:29:00,43.5,2.65,-6.5,-1.86
2021-03-04 00:30:00,0.5,2.32,-43.0,-0.33
2021-03-04 00:31:00,5.0,5.14,4.5,2.82
2021-03-04 00:32:00,59.0,2.99,54.0,-2.15
2021-03-04 00:33:00,47.5,7.06,-11.5,4.07
2021-03-04 00:34:00,28.5,8.7,-19.0,1.64
2021-03-04 00:35:00,61.0,7.4,32.5,-1.3
2021-03-04 00:36:00,104.0,25.21,43.0,17.81
2021-03-04 00:37:00,167.0,1.89,63.0,-23.32
2021-03-04 00:38:00,156.0,2.32,-11.0,0.43
2021-03-04 00:39:00,234.0,75.62,78.0,73.3
2021-03-04 00:40:00,110.0,70.07,-124.0,-5.55
2021-03-04 00:41:00,114.5,19.28,4.5,-50.79
2021-03-04 00:42:00,94.0,2.37,-20.5,-16.91
2021-03-04 00:43:00,51.0,3.69,-43.0,1.32
2021-03-04 00:44:00,41.5,11.19,-9.5,7.5
2021-03-04 00:45:00,90.0,7.38,48.5,-3.81
2021-03-04 00:46:00,160.0,27.33,70.0,19.95
2021-03-04 00:47:00,309.5,70.21,149.5,42.88
2021-03-04 00:48:00,194.5,72.46,-115.0,2.25
2021-03-04 00:49:00,110.0,24.44,-84.5,-48.02
2021-03-04 00:50:00,87.5,10.04,-22.5,-14.4
2021-03-04 00:51:00,42.0,10.85,-45.5,0.81
2021-03-04 00:52:00,49.0,0.91,7.0,-9.94
2021-03-04 00:53:00,28.0,3.01,-21.0,2.1
2021-03-04 00:54:00,44.0,4.17,16.0,1.16
2021-03-04 00:55:00,139.0,3.82,95.0,-0.35
