timestamp,price_volatility,volume_volatility,change_price_volatility,change_volume_volatility
2021-09-01 00:00:00,0.5,,,
2021-09-01 00:01:00,28.5,5.57,28.0,
2021-09-01 00:02:00,56.0,14.54,27.5,8.97
2021-09-01 00:03:00,34.0,2.67,-22.0,-11.87
2021-09-01 00:04:00,18.5,18.87,-15.5,16.2
2021-09-01 00:05:00,0.5,1.82,-18.0,-17.05
2021-09-01 00:06:00,11.5,7.7,11.0,5.88
2021-09-01 00:07:00,0.5,3.44,-11.0,-4.26
2021-09-01 00:08:00,45.5,10.26,45.0,6.82
2021-09-01 00:09:00,31.5,9.34,-14.0,-0.92
2021-09-01 00:10:00,8.5,9.47,-23.0,0.13
2021-09-01 00:11:00,49.5,2.1,41.0,-7.37
2021-09-01 00:12:00,35.0,3.08,-14.5,0.98
2021-09-01 00:13:00,29.0,9.95,-6.0,6.87
2021-09-01 00:14:00,34.5,18.78,5.5,8.83
2021-09-01 00:15:00,14.0,12.58,-20.5,-6.2
2021-09-01 00:16:00,0.5,2.65,-13.5,-9.93
2021-09-01 00:17:00,27.0,2.29,26.5,-0.36
2021-09-01 00:18:00,10.5,4.11,-16.5,1.82
2021-09-01 00:19:00,30.0,30.13,19.5,26.02
2021-09-01 00:20:00,38.5,27.88,8.5,-2.25
2021-09-01 00:21:00,9.5,1.9,-29.0,-25.98
2021-09-01 00:22:00,19.5,0.93,10.0,-0.97
2021-09-01 00:23:00,1.5,4.02,-18.0,3.09
2021-09-01 00:24:00,19.0,6.42,17.5,2.4
2021-09-01 00:25:00,118.5,38.04,99.5,31.62
2021-09-01 00:26:00,30.5,47.2,-88.0,9.16
2021-09-01 00:27:00,24.5,2.1,-6.0,-45.1
2021-09-01 00:28:00,0.5,6.45,-24.0,4.35
2021-09-01 00:29:00,23.0,5.66,22.5,-0.79
2021-09-01 00:30:00,14.5,8.34,-8.5,2.68
2021-09-01 00:31:00,0.5,15.79,-14.0,7.45
2021-09-01 00:32:00,52.5,8.85,52.0,-6.94
2021-09-01 00:33:00,45.5,11.04,-7.0,2.19
2021-09-01 00:34:00,12.5,13.83,-33.0,2.79
2021-09-01 00:35:00,29.5,52.68,17.0,38.85
2021-09-01 00:36:00,19.5,59.05,-10.0,6.37
2021-09-01 00:37:00,17.5,3.2,-2.0,-55.85
2021-09-01 00:38:00,17.0,0.16,-0.5,-3.04
2021-09-01 00:39:00,17.0,3.53,0.0,3.37
2021-09-01 00:40:00,20.0,2.39,3.0,-1.14
2021-09-01 00:41:00,15.0,1.46,-5.0,-0.93
2021-09-01 00:42:00,21.0,7.14,6.0,5.68
2021-09-01 00:43:00,0.5,10.59,-20.5,3.45
2021-09-01 00:44:00,5.0,1.25,4.5,-9.34
2021-09-01 00:45:00,15.0,10.44,10.0,9.19
2021-09-01 00:46:00,15.0,10.31,0.0,-0.13
2021-09-01 00:47:00,0.5,3.23,-14.5,-7.08
2021-09-01 00:48:00,2.5,2.11,2.0,-1.12
2021-09-01 00:49:00,13.5,8.58,11.0,6.47
2021-09-01 00:50:00,14.0,7.73,0.5,-0.85
2021-09-01 00:51:00,0.5,2.29,-13.5,-5.44
2021-09-01 00:52:00,14.0,3.28,13.5,0.99
2021-09-01 00:53:00,4.5,3.4,-9.5,0.12
2021-09-01 00:54:00,9.0,2.24,4.5,-1.16
2021-09-01 00:55:00,0.5,0.99,-8.5,-1.25
2021-09-01 00:56:00,0.5,3.38,0.0,2.39
2021-09-01 00:57:00,1.5,0.0,1.0,-3.38
2021-09-01 00:58:00,1.5,0.62,0.0,0.62
